combination,c1,c2,c3,ECL1,ECL2,ECL3,ECL4,ECL5,ECL6,ECL7,ECL8,ECL9,ECL10,ECL11,ECL12,ECL13
368,100,5.88,1.4,0.2382,0.0642,0.4922,0.1984,0.8461,0.0728,0.7585,0.2687,0.667,0.5535,0.4019,0.4325,0.3094
369,200,5.88,1.4,0.0296,1E-04,0.0433,0.0184,0.386,0.2538,0.5884,0.1284,0.7402,0.5314,0.2832,0.046,0.0594
370,400,5.88,1.4,0.044,0,0,0,0.1821,0.4684,0.2245,0.1065,0.9187,0.5052,0.0667,0,0
371,800,5.88,1.4,0.0755,0,0,0,0.1238,0.4936,0.0068,0.0949,0.7806,0.3586,0.0115,0,0
372,0,11.75,1.4,0.2377,0.1882,0.3946,0.5947,1,0.4955,0.7775,0.3247,0.9009,0.5454,0.4021,0.397,0.5706
373,25,11.75,1.4,0.2177,0.1688,0.4012,0.5107,1,0.3849,0.7839,0.3338,0.8092,0.5148,0.4087,0.4224,0.5705
374,50,11.75,1.4,0.2168,0.1281,0.4312,0.4546,0.938,0.2439,0.7852,0.3084,0.759,0.4854,0.4313,0.4313,0.5604
375,100,11.75,1.4,0.1674,0.0578,0.3039,0.2408,0.8115,0.0799,0.758,0.245,0.6947,0.4398,0.4284,0.3628,0.4008
376,200,11.75,1.4,0.0525,0,0.0192,0.0205,0.5016,0.2538,0.6059,0.1277,0.7677,0.4674,0.3071,0.0475,0.0676
377,400,11.75,1.4,0.0746,0,0,0,0.2202,0.4541,0.211,0.117,0.9181,0.4361,0.0557,0,0
378,800,11.75,1.4,0.0959,0,0,0,0.142,0.4798,0.0103,0.0988,0.8299,0.3451,0.0106,0,0
379,0,23.5,1.4,0,0.0621,0.226,0.1022,0.3854,0.1336,0.3741,0.2065,0.7811,0.3323,0.4074,0.4929,0.2905
380,25,23.5,1.4,0,0.0499,0.2224,0.1023,0.3774,0.1633,0.3836,0.1973,0.7678,0.2988,0.3851,0.5077,0.3137
381,50,23.5,1.4,0,0.048,0.221,0.0878,0.3693,0.1346,0.38,0.1879,0.7656,0.3115,0.4047,0.5178,0.309
382,100,23.5,1.4,0,0.0381,0.1819,0.0555,0.3552,0.0975,0.4122,0.1765,0.6574,0.2825,0.3858,0.5195,0.2685
383,200,23.5,1.4,0,0.0031,0.0309,0.0042,0.2794,0.1996,0.3708,0.119,0.669,0.2732,0.2709,0.2373,0.1727
384,400,23.5,1.4,0.0032,0,0,0,0.1952,0.2831,0.1971,0.1086,0.8774,0.2836,0.0466,0.1173,0.1178
385,800,23.5,1.4,0.0319,0,0,0,0.1375,0.336,0.0192,0.0936,0.7849,0.2096,0.0079,0.0337,0.1054
386,0,47,1.4,0,0,0.0241,0,0.0355,0,0,0.0418,0.2577,0.1995,0.2986,0.5088,0.0748
387,25,47,1.4,0,0,0.0057,0,0.0371,0,0,0.0438,0.2375,0.1603,0.288,0.5142,0.0659
388,50,47,1.4,0,0,0.006,0,0.0128,0,0,0.0398,0.3202,0.1552,0.3063,0.5095,0.0545
